,id,address,dock_bikes,free_bases,total_bases,latitude,longitude
0,1,Puerta del Sol nº 1,7,11,18,40.4168961,-3.7024255
1,2,Puerta del Sol nº 1,8,10,18,40.4170009,-3.7024207000000002
2,3,Calle Miguel Moya nº 1,7,15,22,40.4205886,-3.7058415
3,4,Plaza del Conde Suchil nº 2-4,11,5,16,40.4302937,-3.7069171
4,5,Calle Manuela Malasaña nº 5,10,12,22,40.4285524,-3.7025875
5,6,Calle Fuencarral nº 108,12,12,24,40.428528,-3.7020599
6,7,Calle Hortaleza nº 63,6,16,22,40.424147999999995,-3.6984470000000003
7,8,Calle Hortaleza nº 75,7,12,19,40.4251906,-3.6977714999999995
8,9,Plaza de Alonso Martínez nº 5,4,18,22,40.427868200000006,-3.6954403
9,10,Plaza de San Miguel nº 9,12,10,22,40.4156057,-3.7095084000000003
10,11,Calle Marqués de la Ensenada nº 16,4,19,23,40.4250863,-3.6918807
11,12,Calle San Andrés nº 18,10,11,21,40.42694829999999,-3.7035918
12,13,Calle San Bernardo nº 85,12,10,22,40.42842460000001,-3.706193100000001
13,14,Calle Conde Duque nº 22,12,11,23,40.4273264,-3.7104417
14,15,Calle Ventura Rodríguez nº 2,9,13,22,40.42609570000001,-3.713479
15,16,Calle San Vicente Ferrer nº 64,8,10,18,40.426164899999996,-3.7073763999999994
16,17,Calle San Bernardo nº 22,7,12,19,40.4230721,-3.7075065
17,18,Plaza de Carlos Cambronero nº 2,11,10,21,40.4232649,-3.7038312000000007
18,19,Plaza de Pedro Zerolo,9,13,22,40.4207773,-3.6996502
19,20,Calle Prim nº 2,4,17,21,40.42186160000001,-3.6954983
20,21,Calle Alcalá nº 49,4,24,28,40.4192342,-3.6954615
21,25,Calle Jacometrezo nº 3,8,13,21,40.4200783,-3.7065376000000003
22,26,Plaza de Santo Domingo nº 1,10,11,21,40.4197429,-3.7080733
23,27,Calle Carlos III nº 1,7,15,22,40.4182146,-3.7103538
24,28,Plaza de Celenque nº 1,5,12,17,40.4173114,-3.7064809000000003
25,29,Plaza de Celenque nº 1,5,12,17,40.417278100000004,-3.7063837
26,30,Plaza de las Salesas 7,5,17,22,40.423854999999996,-3.694475
